feature,importance,cumulative_importance
Fea164,0.0015974000738134032,0.8045219023385488
Fea188,0.0015871182998534613,0.8061090206384023
Fea144,0.0015796178409158196,0.8076886384793182
Fea99,0.0015779067743284588,0.8092665452536466
Fea746,0.0015593153030857804,0.8108258605567323
Fea871,0.001555678616288086,0.8123815391730205
Fea5,0.001552260006791951,0.8139337991798125
Fea513,0.0015481878402033794,0.8154819870200158
Fea772,0.0015321039949881196,0.817014091015004
Fea825,0.0015293016427936734,0.8185433926577976
Fea149,0.0015252371866430103,0.8200686298444406
Fea150,0.0015176130538697445,0.8215862428983104
Fea575,0.001467461924363043,0.8230537048226735
Fea960,0.0014665236459184621,0.824520228468592
Fea271,0.0014530842422210064,0.825973312710813
Fea76,0.0014226723714684181,0.8273959850822814
Fea287,0.0014194031944401344,0.8288153882767215
Fea526,0.0014157175995891313,0.8302311058763107
Fea319,0.0014121499727850378,0.8316432558490957
Fea611,0.001410142345673025,0.8330533981947688
Fea421,0.0013896552217046675,0.8344430534164734
Fea198,0.0013871814825810588,0.8358302348990545
Fea209,0.0013819953229927968,0.8372122302220473
Fea739,0.001379544439646558,0.8385917746616939
Fea340,0.001377999373736538,0.8399697740354304
Fea391,0.0013542270025352992,0.8413240010379657
Fea621,0.0013491288271329943,0.8426731298650987
Fea139,0.0013444276932752888,0.8440175575583739
Fea876,0.0013363398131499321,0.8453538973715239
Fea919,0.0013319734576925594,0.8466858708292164
Fea222,0.0013183313263067653,0.8480042021555232
Fea837,0.0013160069189111611,0.8493202090744344
Fea585,0.0013092299386005426,0.8506294390130349
Fea55,0.001289264192057094,0.851918703205092
Fea967,0.0012888396122988134,0.8532075428173909
Fea881,0.0012763942287769138,0.8544839370461678
Fea908,0.0012752530116688615,0.8557591900578366
Fea117,0.0012515742760715264,0.8570107643339081
Fea952,0.0012505199797653535,0.8582612843136734
Fea153,0.0012463654338681319,0.8595076497475416
Fea176,0.0012419657777257205,0.8607496155252673
Fea548,0.001241931614221412,0.8619915471394887
Fea313,0.001237546764891615,0.8632290939043803
Fea989,0.001235824637835134,0.8644649185422154
Fea600,0.001233982591451005,0.8656989011336664
Fea166,0.0012274386966025144,0.8669263398302689
Fea74,0.0012256949990217855,0.8681520348292907
Fea137,0.0012194195393642154,0.8693714543686549
Fea506,0.0012187592219946354,0.8705902135906496
Fea670,0.001209996581023976,0.8718002101716735
Fea120,0.0011996743241245093,0.872999884495798
Fea733,0.0011981819988414202,0.8741980664946395
Fea833,0.0011693961674436638,0.8753674626620832
Fea771,0.00116581137625301,0.8765332740383363
Fea511,0.0011477499913668885,0.8776810240297032
Fea839,0.0011403133841871014,0.8788213374138902
Fea753,0.0011240221240567257,0.879945359537947
Fea529,0.0011165465211882063,0.8810619060591351
Fea221,0.0011113252348727495,0.8821732312940079
Fea485,0.0011067931699670112,0.8832800244639749
Fea974,0.0010766537298101406,0.884356678193785
Fea234,0.0010744001436044594,0.8854310783373895
Fea227,0.001073002782679121,0.8865040811200686
Fea751,0.0010620283606606429,0.8875661094807292
Fea171,0.0010606206706386787,0.888626730151368
Fea854,0.0010603736725750459,0.889687103823943
Fea350,0.0010576364408556884,0.8907447402647987
Fea383,0.0010366748044547255,0.8917814150692533
Fea290,0.0010342739850545749,0.892815689054308
Fea455,0.0010337370360104239,0.8938494260903184
